Index: 73945275944275920010457783194594121327714257484436355842621907864368267215482, account: a9e8f0fbf0d2911d746500a7786606d3fc80abb6, amount: 42716144764901754287382928429 (Small enough? False, equal? False), proof: 0x0ae01ec0f7a50774e0c1ad35f0f5efcc14c376f675704a6212b483bfbf742a69 0x3f267b524a6acda73b1d3e54777f40b188c66a14a090cd142a7ec48b13422298 0xe2eae0dabf8d82b313729f55298625b7ac9ba0f12e408529bae4a2ce405e7d5f 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 84521656180422250796422044700695266201205077929933505369238966967672461757610, account: beba51d0cb0bc6339edf1832ce33515c92b2bfdb, amount: 74977452734261384513485224749 (Small enough? False, equal? False), proof: 0xb74970b484c464c0e6872c78a4fec81a5166f500c6e128052ca5db7a7e22d858 0xf5f6b74e51a15573007b59fb217c22c55fd9748a1e70578c6ddaf550b7298882 0x842f0da95edb7b8dca299f71c33d4e4ecbb37c2301220f6e17eef76c5f386813 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 21511123214633389560223203114220001191595353316259041495355762181690479516271, account: 30976e6e39aeda0af50595309cfe319061ee9961, amount: 4144246112946423367716819498 (Small enough? False, equal? False), proof: 0xc8a963490279786bf4d9522dad319dd536d7de4764d2fc6564356ff73b49cf16 0x955c47a5eea3ebf139056c0603d096a40a686b2304506f7509859fe9cc19bd79 0x21daac29f18f235ede61e08c609f5762e5d12f87d9f014a3254039eb7b71d931 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 18409512743122632555187402485463157462276004532931647987303811281939419412321, account: 2bb44cee53daf66acb6f397831fc2d678c84b5b0, amount: 48482392724640404727004065886 (Small enough? False, equal? False), proof: 0xb78206103b20c68f5d201d54f68a9ae27530ce21120501797e6cf8c69f6f2be2 0x955c47a5eea3ebf139056c0603d096a40a686b2304506f7509859fe9cc19bd79 0x21daac29f18f235ede61e08c609f5762e5d12f87d9f014a3254039eb7b71d931 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 101868353095654690103275586884018928684065618548730611160552008233880362191301, account: eab835a5226ecd7bb468ab6f2a12db05290e3bc5, amount: 13095131560928095890443981145 (Small enough? False, equal? False), proof: 0xd5423e8e964fcfbe8025bf3f96273ba0c0039f284d40c720a8466bd39e5d3eb9 0x2fa599012c0491428e6451d1cc1511f133f82c66ee98b9eefc1b4c263db48518 0xabde46c0e277501c050793f072f0759904f6b2b8e94023efb7fc9112f366374a 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 16827736836042460424266687810734092903610584826583193995549257486351122258530, account: 25e8db86fed4ac88814814f013f23c2356f1e096, amount: 4580804063403373315185731247 (Small enough? False, equal? False), proof: 0x4db4c30a97febfe168893f90f7ed6b5d2fd442c87de6db7367ca1f4f254d7560 0x0cd186d2b1377ee96a87ef7a295dec75cc05b54a08fcaca61868911d6ac9bc27 0x21daac29f18f235ede61e08c609f5762e5d12f87d9f014a3254039eb7b71d931 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 57884237095565571639003050432450646305861292664607636691498407823214687832300, account: 8652a5d44578e32b80888eba7b90d776d65f946d, amount: 12614730858236657642578744432 (Small enough? False, equal? False), proof: 0xa9fd6f5ade2e4b246e93337936684b7a5cc7285dca4caf3b26203f258211bb75 0x449eac22434639a214604e71bc3c53ee18a2803f1cca16000e5d26fe3ee6ac11 0xf2511a8dc138320a73ce3b126adfa94a3e290691a9071d85189d01ef860bd734 0x01cf774c22de70195c31bde82dc3ec94807e4e4e01a42aca6d5adccafe09510e 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 230566881563827667254959994844824675311820038517335895891833217385288622420, account: 019c868fa8ed0a5d4d0c902c5bd7b18a53b75b05, amount: 36491089371595879455541728415 (Small enough? False, equal? False), proof: 0x68cb43b42c0f1a39502ac222e901a42950ac602e2335eca67a15e3f6a661a7d7 0xd7fc0d5cfae7aea3e6f1c1a6d427c9da67942e8091b8bf719a39cb31442588cf 0x51f609195fe7b01dbe09b4f0c130c652183a94ce57e75ba6ead0fc94d2c4f557 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 99090562566622468108125554567652763949002692914143902147974348932820661689546, account: e10102068cab128ad732ed1a8f53922f78f0acdc, amount: 51580645887077256024660622848 (Small enough? False, equal? False), proof: 0xd779d1890bba630ee282997e511c09575fae6af79d88ae89a7a850a3eb2876b3 0x46b46a28fab615ab202ace89e215576e28ed0ee55f5f6b5e36d7ce9b0d1feda2 0xabde46c0e277501c050793f072f0759904f6b2b8e94023efb7fc9112f366374a 0x0e3089bffdef8d325761bd4711d7c59b18553f14d84116aecb9098bba3c0a20c 0x5271d2d8f9a3cc8d6fd02bfb11720e1c518a3bb08e7110d6bf7558764a8da1c5
Index: 34691163205122829895614528053389895926794840819435965045600698227918757566982, account: 4e5133c9221f862a0116601af29c036030d7a2d6, amount: 31374457527664654623517671645 (Small enough? False, equal? False), proof: 0x26171694d9e478c26b02ca6850ea3b0d94dba9ead9fc33ed3f0cb59482117454 0x54dfc2bcb68496ea7b8f2e6abbbd3dc442151628379a64aa231ce6fb6aae02b6 0xe3affea7b3ec31efa680e4f2728e46392eea685ce2ca5803848a3637de650e13 0x5ccf0ef336c96ea89a6a1b0fa449644f646e67fdf1099608f560fcf8b55118e8 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
Index: 1506563639313407520395908868043744976697044585255307196144020835035245716377, account: 0701f8f739a2fec08a0e04cc1c3e66fa558dba85, amount: 25443695859620747854837599755 (Small enough? False, equal? False), proof: 0xf467876e338a148fd70b2581b6b3a7469047be31dca35c345a510ef85dba31dc 0xd7fc0d5cfae7aea3e6f1c1a6d427c9da67942e8091b8bf719a39cb31442588cf 0x51f609195fe7b01dbe09b4f0c130c652183a94ce57e75ba6ead0fc94d2c4f557 0x4fcfc1702cc3495bc600779c15a4aec4dc5f6432cbf82d5209c0f07095ffe33c 0x3d159ff1e06840b9a541438da880d6637874661722c48e37343c9e6329245c2e
