Pool ID: 0, LP token: 0x06da0fd433C1A5d7a4faa01111c044910A184553 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xdAC17F958D2ee523a2206206994597C13D831ec7 (is WETH: False)
Pool ID: 1, LP token: 0x397FF1542f962076d0BFE58eA045FfA2d347ACa0 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 2, LP token: 0xC3D03e4F041Fd4cD388c549Ee2A29a9E5075882f (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x6B175474E89094C44Da98b954EedeAC495271d0F (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 3, LP token: 0xF1F85b2C54a2bD284B1cf4141D64fD171Bd85539 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x57Ab1ec28D129707052df4dF418D58a2D46d5f51 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 4, LP token: 0x31503dcb60119A812feE820bb7042752019F2355 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xc00e94Cb662C3520282E6f5717214004A7f26888 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 5, LP token: 0x5E63360E891BD60C69445970256C260b0A6A54c6 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x80fB784B7eD66730e8b1DBd9820aFD29931aab03 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 6, LP token: 0xA1d7b2d891e3A1f9ef4bBC5be20630C2FEB1c470 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC011a73ee8576Fb46F5E1c5751cA3B9Fe0af2a6F (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 7, LP token: 0x001b6450083E531A5a7Bf310BD2c1Af4247E23D4 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x04Fa0d235C4abf4BcF4787aF4CF447DE572eF828 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 8, LP token: 0xC40D16476380e4037e6b1A2594cAF6a6cc8Da967 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x514910771AF9Ca656af840dff83E8264EcF986CA (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 9, LP token: 0xA75F7c2F025f470355515482BdE9EFA8153536A8 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xBA11D00c5f74255f56a5E366F4F77f5A186d7f55 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 10, LP token: 0xCb2286d9471cc185281c4f763d34A962ED212962 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True), Token 1: 0xD46bA6D942050d489DBd938a2C909A5d5039A161 (is WETH: False)
Pool ID: 11, LP token: 0x088ee5007C98a9677165D78dD2109AE4a3D04d0C (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x0bc529c00C6401aEF6D220BE8C6Ea1667F6Ad93e (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 12, LP token: 0x795065dCc9f64b5614C407a6EFDC400DA6221FB0 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x6B3595068778DD592e39A122f4f5a5cF09C90fE2 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 13, LP token: 0x611CDe65deA90918c0078ac0400A72B0D25B9bb1 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x408e41876cCCDC0F92210600ef50372656052a38 (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
Pool ID: 14, LP token: 0xaAD22f5543FCDaA694B68f94Be177B561836AE57 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x57Ab1ec28D129707052df4dF418D58a2D46d5f51 (is WETH: False), Token 1: 0x68A118Ef45063051Eac49c7e647CE5Ace48a68a5 (is WETH: False)
Pool ID: 15, LP token: 0x117d4288B3635021a3D612FE05a3Cbf5C717fEf2 (helper balance: 0, my balance: 0, is WETH: False), Token 0: 0x476c5E26a75bd202a9683ffD34359C0CC15be0fF (is WETH: False), Token 1: 0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2 (is WETH: True)
